id,name,url,city,zip_code,biz_rating,categories,price,hours_open
VPqWLp9kMiZEbctCebIZUA,Medina Cafe,https://www.yelp.com/biz/medina-cafe-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6B 3A4,4.0,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",$$,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
p5thThuUITUjAy8gS3sPMw,Fable,https://www.yelp.com/biz/fable-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6J 1M5,4.5,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]",$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
kajMc2fkWKdzKJ1M4pm47Q,Stanley Park,https://www.yelp.com/biz/stanley-park-vancouver-4?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6G,5.0,"[{'alias': 'parks', 'title': 'Parks'}]",,[]
4EV_ZcQmjAmP3pmO-_nb2A,Miku,https://www.yelp.com/biz/miku-vancouver-2?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6C 1S4,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",$$$,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
NdEPf2Ls5Ql3_nkwjqKvXA,The Flying Pig - Yaletown,https://www.yelp.com/biz/the-flying-pig-yaletown-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6B 2S2,4.0,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]",$$,"[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1500', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1500', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1500', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
A8ab1QjPyC10m9NAKQkliA,Fritz European Fry House,https://www.yelp.com/biz/fritz-european-fry-house-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6Z 1B6,4.0,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'poutineries', 'title': 'Poutineries'}, {'alias': 'modern_european', 'title': 'Modern European'}]",$,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
LjdbthVdtLYKSi7iVAFl0g,Jam Cafe on Beatty,https://www.yelp.com/biz/jam-cafe-on-beatty-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6B 2L3,4.5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",$$,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
gt1BSfVFvzI-qHdJ3LUZug,Blue Water Cafe,https://www.yelp.com/biz/blue-water-cafe-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6B 5T4,4.5,"[{'alias': 'seafood', 'title': 'Seafood'}]",$$$,"[{'open': [{'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1630', 'end': '2230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6iOAgzJ0DRZNSKA3FSrrOg,La Taqueria Pinche Taco Shop,https://www.yelp.com/biz/la-taqueria-pinche-taco-shop-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V5Z 3V6,4.0,"[{'alias': 'mexican', 'title': 'Mexican'}]",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
_4R46MNkwx9MeOyt0YfNxA,Chambar,https://www.yelp.com/biz/chambar-vancouver?adjust_creative=dE8CBadBHgWyNQKV_BoW7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dE8CBadBHgWyNQKV_BoW7A,Vancouver,V6B 2L3,4.0,"[{'alias': 'belgian', 'title': 'Belgian'}]",$$$,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
