business_id	user_id	rating	comment	feedback	time_uploaded
VPqWLp9kMiZEbctCebIZUA	wgKNitK5z4DUpNlrUkrJ4g	5	Great place to eat. Sometimes the wait time can be hard but worth while.	{'funny': 0, 'useful': 0, 'cool': 0}	9/25/2020
VPqWLp9kMiZEbctCebIZUA	w23nybd79mjSaELjIUapCg	5	A great atmosphere with some incredible food. Fast and solid service with a decent amount of variety food wise.	{'funny': 0, 'useful': 0, 'cool': 0}	9/22/2020
VPqWLp9kMiZEbctCebIZUA	-D4T2oVxSjvVN9_owkEmyw	4	Medina Cafe is a cute/cozy spot for brunch. We visited during a snowstorm and the place was still packed, which blew our minds. Since there were so many rave reviews for this place, we figured we'd see what all the hype was about.<br><br>I had the Le Complet (2 Sunny Eggs, Flatiron Steak, Toasted Focaccia with Caramelized Onion and Roasted Red Pepper Chèvre, Romesco, Organic Greens) and hubby had the Fricassée (2 Sunny Eggs, Braised Short Ribs, Roasted Potatoes, Caramelized Onions, Smoked Cheddar, Arugula, Grilled Focaccia). <br><br>Both arrived beautifully plated and were delicious. We ended up sharing a waffle because I guess you can't come here without trying one, but were totally disappointed that it arrived ice cold. We ended up sending it back and they warmed it up for us, but it would've been nice if it had been freshly made in the first place. <br><br>Cute spot, good food, hectic atmosphere. Would visit again to try another waffle.	{'funny': 0, 'useful': 0, 'cool': 0}	9/18/2020
VPqWLp9kMiZEbctCebIZUA	_wpYkjJLvtY9XZus3v6Sjw	3	Never been here, don't know why Yelp can't simply eliminate the places you haven't visited with the simple push of a button. Last time I went to a restaurant was a year ago so I really have nothing to say about the ten places (I've obviously walked past) in recent months.	{'funny': 0, 'useful': 0, 'cool': 0}	9/9/2020
VPqWLp9kMiZEbctCebIZUA	vlYX9OA3aVM0LbNA2w8U7Q	5	Yes yes yes, except the table outside was wobbly I made it through this delish breakfast salmon fume ...yummy and cappuccino was good too	{'funny': 0, 'useful': 1, 'cool': 1}	8/22/2020
VPqWLp9kMiZEbctCebIZUA	iHX5dCiaetdHdbi6LXryIg	2	Went the other day with friends for brunch.  We waited an hour and a half to get in even though they told us it wouldn't be that long.<br>The service was very slow and by the time our brunch came everything was ice cold.. We couldn't be bothered to send it back because we were only there for brunch and this was becoming an all day experience.<br>The menu was unique however if you are expecting a typical brunch, it was not available. Based on first impressions all four of us said we wouldn't go back even though the reviews seem very positive.	{'funny': 0, 'useful': 0, 'cool': 0}	8/14/2020
VPqWLp9kMiZEbctCebIZUA	sOfNgzFgpliNkCotJX4LqA	4	Good spot to go with friends/family. We went pre-covid. This restaurant can host large group of party<br><br>The service was one of the best I had.  we even got chocolate ruffle from the server at the of our meals. The food was ok not amazing	{'funny': 0, 'useful': 1, 'cool': 0}	8/7/2020
VPqWLp9kMiZEbctCebIZUA	YnCzDvlExn_8eDuaSfhd9A	5	I love this place! The location is central to downtown and the food is amazing! The atmosphere is super cute as well.	{'funny': 0, 'useful': 0, 'cool': 0}	7/29/2020
VPqWLp9kMiZEbctCebIZUA	Hwz-EhpzkEw15zaJurBrWA	4	Such a great brunch spot! I can see what all the hype is about. <br><br>I ordered:<br>- the breakfast paella ( vegetarian substitute). I enjoyed this quite a bit and I'm glad they offer so many vegetarian options. <br>- waffles with chocolate pistachio and fig orange marmalade. Both really good flavours, there's a lot of icing and one waffle is not enough but I wanted to try 2 flavours anyways<br>- lavender latte with oat milk. Milk was perfectly frothed, the barista did a great job. The flavour of the lavender wasn't what I was looking for - it tasted a little artificial but for me it's quite rare to find a good lavender syrup for espresso drinks. If I return I'd try something else or just a plain latte. My sister ordered the turmeric latte and she said it was tasty! <br><br>Overall great place! The star of the brunch is definitely their famous waffles.	{'funny': 0, 'useful': 0, 'cool': 0}	7/22/2020
VPqWLp9kMiZEbctCebIZUA	TzwZbBAM3_4t7AGk8xfUog	3	Who the hell waits in line for two-half-hours to eat potatoes somewhere? The vibe I got was very much the 'let's take a photo so people know I made it through the door' kinda thing than people actually enjoying their time. Place to see and be seen, I guess.<br><br>The food is pretty good, great menu options and decent service. However, the owner(?) or manager(?) or random dude who brought my food(?) told me that no, I couldn't have salt because all the food is well-seasoned. He's not wrong, it was. Except, egg yolk without salt freaks me out, it's just a general palette thing. So, sure, if you're somehow managing to salt the inside of an unbroken egg yolk, then congrats on your magician skills. But since that's not likely, maybe just give me five seconds to explain before patronizing me and running away. <br><br>Good latte tho.	{'funny': 0, 'useful': 2, 'cool': 1}	7/18/2020
VPqWLp9kMiZEbctCebIZUA	8xCsHcpnicakbdWiCGGiAQ	5	The food here is so good. My friends and I came here for brunch and i just recently took my boyfriend as well. The service is amazing and the food is great, especially the waffles and steak.	{'funny': 0, 'useful': 0, 'cool': 0}	7/14/2020
VPqWLp9kMiZEbctCebIZUA	9FtZ_w0vSPA23AqboPn_4Q	5	Excellent customer service, friendly staff..<br>Very authentic menu with different dietary options <br>Clean and nice location	{'funny': 0, 'useful': 0, 'cool': 0}	7/14/2020
VPqWLp9kMiZEbctCebIZUA	IXG3YJSoOW4iB4EzEhJvLQ	4	Good food but waited the seat for a long time. When we finished the food, the waitress took away all the dishes and cups including the water. It seems that she wanted us to leave ASAP to give our seat to other waiting customers.	{'funny': 0, 'useful': 0, 'cool': 0}	7/5/2020
VPqWLp9kMiZEbctCebIZUA	f-pcFCjc7fCIl0NzY9vwLQ	1	Ordered a meal in a skillet which included sausage.  It was impossible to chew, very hard either casing or intestines, this was pretty bad.  The eggs were ok, but cmon, I can fry eggs at home.  Price was charged about 17.  I really don't understand the hype, is the food quality in Vancouver so bad, that a mediocre eatery gets high praises?	{'funny': 0, 'useful': 0, 'cool': 0}	6/27/2020
VPqWLp9kMiZEbctCebIZUA	7W7n-Wub7rJleVRaLiwN3A	5	Cafe Medina has some of the best breakfasts available in Vancouver. This issue is that everyone knows this in Vancouver.  The line-up are brutal, sometimes over an hour long.  I wish they got a bigger spot to hold more people.  The flavouring and freshness of their food is amazing very savoury, but it can be heavy.	{'funny': 0, 'useful': 0, 'cool': 0}	6/9/2020
VPqWLp9kMiZEbctCebIZUA	uLvGvr0URULKL2Is3pgyoA	4	The waffles, flatbread and roast potatoes are delicious. We also ordered a vegetarian frittata which looked very pretty but turned out to be very bland tasting. My friend got the granola which stated it was topped with 'fruits' but it only came with sliced apple :) Overall we enjoyed it but I would consider ordering eggs/sides a la carte next time rather than the frittata again.	{'funny': 0, 'useful': 0, 'cool': 0}	6/2/2020
VPqWLp9kMiZEbctCebIZUA	ugT_7Cs5-mpBQ0PjxjKMgA	5	Amazing food I'm so in love with their breakfast foods <br>I always recommend them to my guests as well	{'funny': 0, 'useful': 0, 'cool': 0}	5/29/2020
VPqWLp9kMiZEbctCebIZUA	EtOLzjuEeluDwqAGaC1TkQ	5	Bring back the lilikoi sauce for the waffles, BEST INVENTION EVER!!!!<br>This places waffles are amazing, i went up to visit BC a while back and had to stop there every morning because it was so good.	{'funny': 0, 'useful': 0, 'cool': 0}	5/23/2020
VPqWLp9kMiZEbctCebIZUA	zq22rw_VB7eLhwrsZrmTDQ	3	Really extremely long wait on the weekends for mediocre food. Not very impressed at all.	{'funny': 1, 'useful': 3, 'cool': 1}	4/29/2020
